"","var","J1","J2","LR1","LR2","hypo"
"1","moran",26.4918933484602,27.011958300376,7.48990895171598,7.61254653655779,"H2"
"2","rel_occ_Ncells",22.221754090749,26.7081453750028,12.2765913537064,12.1301922186015,"H2"
"3","AOO",20.982855525205,20.0722162255608,12.3284281448348,10.721770741728,"H2"
"4","D_AOO_a",20.0552953265034,18.8531992171136,16.2854926725077,11.2910943688202,"H2"
"5","circ",19.3789749164643,19.8479280539375,8.2111299257259,5.35422538001936,"H2"
"6","rel_relCirc",18.9160237680078,15.9754263920482,9.83268597768095,7.91590142365605,"H2"
"7","x_intercept",14.3878460529175,13.9867595442358,7.23675085636234,8.06792547724531,"H2"
"8","mean_prob_cooccur",12.7803323881422,NA,12.3157144139333,NA,"H2"
"9","sp_centr_lat",11.5054190838864,12.0437724488024,8.30505256324215,6.08293649099834,"H2"
"10","GlobRangeSize_m2",11.3038821857016,8.33937958959697,2.28524165671945,4.48140568551014,"H1"
"11","BetaSR_sp",10.7152490553918,12.6585543757204,8.51460911524072,6.28181715704648,"H3"
"12","Dist_centroid_to_COG",9.87042268733455,12.4154939995046,6.11970758795988,6.30615422992046,"H2"
"13","sp_centr_lon",9.46693527343623,9.90564404424126,8.65183872357357,8.73397760146238,"H2"
"14","Southernness",8.71867259938487,8.92353870728136,9.93081266813091,7.89053155597203,"H2"
"15","AlphaSR_sp",7.67831604609759,10.2281865647985,12.7620987547058,8.47093089994842,"H3"
"16","Westernness",7.61138533741323,10.2243244386744,11.0208217480503,9.75601692867064,"H2"
"17","Trophic.Niche",7.32810208027621,6.97061535324183,3.45315367901938,2.6972510172588,"H1"
"18","Habitat",6.90453253108307,7.96929267357968,5.44220611405497,3.25148360090538,"H1"
"19","widthMinRect",6.73095599057343,6.71155983711084,10.0719937531753,8.15621193212814,"H2"
"20","sd_PC2",5.08341586412004,5.57483763064553,1.99695656205604,2.85226917142469,"H1"
"21","dataset",5.07999463790983,5.17209162477933,6.24071948364829,3.00820207159259,"H4"
"22","rel_maxDist",4.65188044139619,5.77350254706151,7.87816627445764,7.24314993943987,"H2"
"23","bearingMinRect",4.23684360355056,4.46589361159407,6.03922646098514,4.83514646412516,"H2"
"24","minDist_toBorder_centr",3.78500448254981,6.03995647399212,7.30508401110151,6.11496448369955,"H2"
"25","Hand.Wing.Index",3.65119208490744,4.54281831463599,4.62254912989624,3.31431616398017,"H1"
"26","sd_PC1",3.6287347395797,2.47278568333438,3.23968312979617,3.59411095124377,"H1"
"27","rel_lin",3.50431037615958,5.70516601500082,7.54783764247607,8.99543010566387,"H2"
"28","rel_elonRatio",3.32774160519007,4.85940323549064,7.24113891216665,6.49341609796483,"H2"
"29","Mass",3.19123873097502,4.5460666583471,9.35040557296586,12.3954269227155,"H1"
"30","atlas_bearingMinRect",3.1655935691632,2.89260151208781,2.39425885414397,2.695746883006,"H4"
"31","bearing",2.98260265846626,5.68476564302222,6.27315734238149,8.53244952720512,"H2"
"32","atlas_widthMinRect",2.50952011386587,2.35949418527779,2.09512559400552,1.91856601557163,"H4"
"33","Primary.Lifestyle",1.92454614382005,2.24074013377504,2.39346049857337,0.453745583563397,"H1"
"34","elonMinRect",1.79357713279738,4.52607789491193,3.50978294464352,4.86062625776401,"H2"
"35","Habitat.Density",1.65073703321498,2.23920498902952,1.96818329368571,0.516622265533278,"H1"
"36","IUCN",1.49014144874258,-0.158823842786026,3.76093401998905,1.86510101060486,"H1"
"37","Migration",1.27194739256837,1.73374576478504,1.63491497882591,1.82426230263466,"H1"
"38","Trophic.Level",0.772783328034284,1.53038634139002,-0.0552391892917201,1.38690635480617,"H1"
"39","FP",-0.548247805681474,-0.763928015961195,1.26877504394405,2.63546249290616,"H1"
